m,n,minGiftSolvercmax,openGiftSolvercmax,meanGiftSolvercmax,closedGiftSolvercmax,maxGiftSolvercmax,minDistributedGiftSolvercmax,openDistributedGiftSolvercmax,meanDistributedGiftSolvercmax,closedDistributedGiftSolvercmax,maxDistributedGiftSolvercmax,minSwapSolvercmax,openSwapSolvercmax,meanSwapSolvercmax,closedSwapSolvercmax,maxSwapSolvercmax,minDistributedSwapSolvercmax,openDistributedSwapSolvercmax,meanDistributedSwapSolvercmax,closedDistributedSwapSolvercmax,maxDistributedSwapSolvercmax,minLpSolvercmax,openLpSolvercmax,meanLpSolvercmax,closedLpSolvercmax,maxLpSolvercmax,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
22,110,30.0,33.0,36.0,37.0,42.0,31.0,34.0,36.0,37.0,41.0,29.0,33.0,35.0,36.0,40.0,29.0,34.0,36.0,39.0,41.0,37.0,42.0,44.0,49.0,56.0,2.4796032E7,3.2327424E7,3.8354191E7,4.4231676E7,6.1732339E7,1.7965038E7,2.4556075E7,4.0437652E7,4.8883304E7,6.7760775E7,1.40636414E8,1.74572422E8,2.48950503E8,2.74499704E8,3.59545388E8,2.3246857E7,4.3742055E7,4.7096835E7,5.089121E7,5.8644287E7,1847479.0,2070355.0,2157502.0,2250982.0,2409168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,46.4,4.7,59.3,0.0,25.5,33.8,0.7,24.8,0.0,0.0,58.85,2.25,26.15,32.7,0.55,24.0,1.6,0.0
24,120,28.0,34.0,35.0,37.0,39.0,28.0,34.0,35.0,37.0,42.0,28.0,32.0,33.0,35.0,39.0,29.0,32.0,35.0,39.0,42.0,33.0,39.0,44.0,47.0,56.0,2.8750133E7,4.3526753E7,4.8637297E7,5.4377902E7,7.4671418E7,1.8935408E7,4.6362598E7,5.0785049E7,5.7200929E7,6.539473E7,1.94091906E8,2.59332754E8,2.92298984E8,3.44518581E8,5.07901953E8,2.8093734E7,3.9911019E7,5.1367866E7,6.0216202E7,6.6398774E7,2324392.0,2403684.0,2418920.0,2560544.0,2864197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,47.3,5.3,67.4,0.0,29.35,38.05,1.15,28.2,0.0,0.0,64.7,2.35,27.85,36.85,1.05,24.95,1.85,0.0
26,130,27.0,30.0,32.0,35.0,38.0,27.0,30.0,32.0,35.0,43.0,26.0,29.0,31.0,33.0,38.0,27.0,30.0,31.0,35.0,39.0,31.0,33.0,39.0,42.0,51.0,4.1992774E7,5.0164649E7,6.1662936E7,7.0108101E7,1.00157659E8,2.2932324E7,4.3165007E7,5.100712E7,5.882768E7,7.8089195E7,2.51237603E8,3.13555366E8,3.52226489E8,3.98897374E8,5.05331813E8,1.7877061E7,5.4046088E7,6.440405E7,6.8266793E7,7.3098602E7,2633759.0,2797988.0,2860876.0,2943064.0,3552523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2,51.2,5.7,65.8,0.0,26.75,39.05,1.15,25.6,0.0,0.0,70.0,2.65,31.2,38.8,1.25,27.9,2.05,0.0
28,140,25.0,29.0,31.0,32.0,32.0,25.0,28.0,31.0,32.0,38.0,25.0,27.0,29.0,32.0,33.0,25.0,28.0,29.0,32.0,32.0,29.0,35.0,38.0,39.0,44.0,4.2002873E7,6.0132286E7,7.0533713E7,8.0152634E7,1.15303218E8,2.7808628E7,4.4849301E7,5.4866237E7,6.7849135E7,8.5543889E7,3.10610665E8,3.80592098E8,4.50660289E8,5.59399584E8,8.53055216E8,2.9174544E7,4.9362863E7,6.3781876E7,7.3736917E7,8.333916E7,3057810.0,3148662.0,3229690.0,3351883.0,4628848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,59.25,6.15,76.85,0.0,32.3,44.55,0.75,31.55,0.0,0.0,78.35,2.8,34.5,43.85,0.6,31.4,2.5,0.0
30,150,24.0,27.0,27.0,29.0,32.0,24.0,26.0,28.0,30.0,32.0,24.0,26.0,27.0,29.0,32.0,24.0,26.0,28.0,29.0,32.0,30.0,33.0,34.0,37.0,45.0,5.5904525E7,7.3849958E7,8.0188317E7,9.9012646E7,1.3848216E8,3.2343645E7,4.7685069E7,5.4125391E7,7.669535E7,8.4630386E7,3.56362764E8,5.04119901E8,5.51700869E8,6.46880074E8,8.7715956E8,3.459414E7,5.1589764E7,6.1643768E7,7.7289825E7,1.01613344E8,3572784.0,3640646.0,3771422.0,3917887.0,5418013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3,55.45,5.85,74.4,0.0,30.35,44.05,1.0,29.35,0.0,0.0,74.35,2.25,31.0,43.35,1.05,28.15,1.8,0.0
32,160,23.0,25.0,27.0,28.0,36.0,22.0,26.0,27.0,28.0,36.0,22.0,25.0,26.0,28.0,31.0,23.0,25.0,27.0,28.0,36.0,25.0,31.0,33.0,36.0,40.0,6.7150035E7,8.5403178E7,9.472966E7,1.11593547E8,1.69378918E8,3.9273351E7,5.0485317E7,7.106084E7,7.8142792E7,9.1314393E7,4.76946681E8,5.51690313E8,7.2475051E8,7.9180545E8,1.159533773E9,4.5549644E7,6.4340305E7,7.3688076E7,8.4383303E7,1.1430836E8,4084327.0,4202084.0,4341275.0,4609327.0,8999912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6,63.3,6.7,84.75,0.0,34.1,50.65,1.15,32.95,0.0,0.0,83.3,2.75,34.5,48.8,1.8,30.4,2.3,0.0
34,170,22.0,24.0,25.0,27.0,29.0,24.0,24.0,25.0,27.0,29.0,22.0,24.0,25.0,26.0,29.0,22.0,24.0,25.0,27.0,30.0,26.0,29.0,31.0,34.0,38.0,9.5319131E7,1.1203256E8,1.21875324E8,1.52810897E8,1.72100362E8,4.4375526E7,6.6053629E7,7.4697503E7,8.0239205E7,1.21860544E8,5.31832831E8,6.41498786E8,7.64669777E8,8.85399937E8,1.016961632E9,3.1898824E7,5.3848618E7,7.674974E7,8.595445E7,1.09986434E8,4576435.0,4728259.0,4876866.0,5194335.0,6193980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.1,57.75,4.05,87.5,0.0,35.75,51.75,1.05,34.7,0.0,0.0,82.2,2.2,32.6,49.6,0.65,30.45,1.5,0.0
36,180,21.0,23.0,24.0,26.0,29.0,20.0,23.0,25.0,27.0,30.0,20.0,23.0,23.0,25.0,29.0,20.0,22.0,25.0,26.0,29.0,24.0,28.0,31.0,32.0,37.0,9.1600564E7,1.40235894E8,1.49102721E8,1.81770854E8,2.11418337E8,4.4984176E7,6.7624041E7,7.8235487E7,8.4733617E7,9.9454269E7,5.24923818E8,7.64565457E8,8.41037339E8,1.029719941E9,1.348047233E9,4.7589838E7,6.8786505E7,7.7428554E7,8.712236E7,9.5801176E7,4934401.0,5376914.0,5554877.0,5736839.0,7077965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7,60.9,6.6,92.0,0.0,34.35,57.65,1.35,33.0,0.0,0.0,93.5,2.7,36.9,56.6,1.35,33.55,2.0,0.0
38,190,21.0,22.0,23.0,23.0,26.0,21.0,22.0,23.0,23.0,26.0,20.0,22.0,22.0,23.0,24.0,20.0,22.0,23.0,23.0,26.0,25.0,26.0,28.0,30.0,34.0,9.8228533E7,1.42265045E8,1.57574233E8,1.91154178E8,2.13825244E8,4.2831156E7,7.706583E7,8.4061267E7,9.8690675E7,1.14841505E8,8.14594066E8,8.63465267E8,9.86074714E8,1.232001355E9,1.452045636E9,4.5325109E7,7.7404334E7,8.797852E7,9.5551307E7,1.36553214E8,5802164.0,6080507.0,6225561.0,6375060.0,1.5789265E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,71.0,6.0,99.5,0.0,39.85,59.65,1.45,38.4,0.0,0.0,102.05,2.5,41.05,61.0,1.4,37.5,2.15,0.0
40,200,20.0,21.0,22.0,24.0,27.0,19.0,21.0,22.0,23.0,26.0,20.0,21.0,22.0,23.0,27.0,20.0,21.0,22.0,23.0,26.0,24.0,27.0,29.0,30.0,35.0,1.40696654E8,1.64806621E8,1.97208695E8,2.28291643E8,3.12099757E8,5.7430601E7,8.4834125E7,9.3161905E7,9.7854825E7,1.04763802E8,7.42528102E8,1.025563661E9,1.134201571E9,1.283495999E9,1.653195524E9,5.803099E7,8.2833969E7,9.4768124E7,1.07111237E8,1.25311978E8,6541648.0,6707362.0,6807800.0,7134075.0,9606191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.3,68.3,5.2,107.15,0.0,43.0,64.1,1.85,41.15,0.0,0.0,105.7,2.7,43.6,62.1,1.5,39.85,2.25,0.0
42,210,19.0,20.0,21.0,23.0,27.0,19.0,20.0,21.0,23.0,27.0,18.0,20.0,21.0,23.0,27.0,19.0,20.0,22.0,23.0,27.0,23.0,25.0,27.0,29.0,32.0,1.34695608E8,1.93903157E8,2.18370946E8,2.58202186E8,3.26048985E8,4.302814E7,7.7088659E7,8.6534332E7,1.01164625E8,1.15180704E8,8.15170264E8,1.030709001E9,1.261526938E9,1.387748995E9,1.736322559E9,3.783927E7,8.6808585E7,9.0141991E7,1.01414765E8,1.36613096E8,7278267.0,7413897.0,7501249.0,7975490.0,1.0532665E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1,67.8,4.5,106.1,0.0,39.45,66.65,2.1,37.35,0.0,0.0,102.4,1.75,37.8,64.6,1.75,34.75,1.3,0.0
44,220,18.0,19.0,20.0,21.0,24.0,18.0,19.0,21.0,21.0,24.0,18.0,19.0,19.0,21.0,23.0,18.0,19.0,21.0,21.0,24.0,21.0,25.0,26.0,28.0,30.0,1.7736754E8,2.21565713E8,2.60931032E8,2.86975755E8,4.2060658E8,7.9054987E7,9.4605276E7,1.07093506E8,1.13730061E8,1.51398611E8,1.279719959E9,1.429577126E9,1.58323685E9,1.796955532E9,2.039891097E9,5.3743287E7,9.8899766E7,1.02394975E8,1.13545597E8,1.41121796E8,7316481.0,8249617.0,8349952.0,8797602.0,1.1473005E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.3,79.75,5.15,116.4,0.0,42.6,73.8,1.85,40.75,0.0,0.0,110.6,2.1,43.9,66.7,1.65,40.65,1.6,0.0
46,230,18.0,19.0,20.0,21.0,24.0,18.0,19.0,21.0,23.0,26.0,18.0,19.0,20.0,21.0,24.0,19.0,19.0,21.0,22.0,25.0,21.0,25.0,26.0,27.0,31.0,2.46064161E8,2.70002442E8,3.01743268E8,3.36541448E8,3.76171624E8,7.0138223E7,9.4682096E7,1.15475541E8,1.22634654E8,2.02129353E8,1.478215766E9,1.735542629E9,1.803317136E9,2.098968658E9,2.420475319E9,5.450627E7,9.4842206E7,1.1115972E8,1.20234432E8,1.42620244E8,8516954.0,9051335.0,9335777.0,1.0084542E7,1.1969676E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,80.2,6.1,123.95,0.0,45.7,78.25,2.15,43.55,0.0,0.0,121.55,2.7,42.15,79.4,1.55,38.3,2.3,0.0
48,240,17.0,19.0,20.0,22.0,23.0,17.0,19.0,20.0,22.0,22.0,17.0,19.0,19.0,20.0,23.0,17.0,19.0,20.0,22.0,23.0,22.0,23.0,24.0,26.0,32.0,2.55800836E8,3.05028872E8,3.49992548E8,3.79171299E8,4.52505746E8,8.4223609E7,9.9951849E7,1.12537951E8,1.37950656E8,1.73676096E8,1.545817041E9,1.798401047E9,1.963854849E9,2.397149661E9,2.761468015E9,6.3147544E7,1.02499846E8,1.19930524E8,1.34625061E8,1.67447171E8,9830988.0,1.002351E7,1.0281298E7,1.0608883E7,1.3042985E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7,79.45,4.45,120.9,0.0,42.9,78.0,1.15,41.75,0.0,0.0,119.8,1.85,44.25,75.55,2.05,40.9,1.3,0.0
50,250,16.0,18.0,19.0,19.0,25.0,17.0,18.0,19.0,19.0,25.0,17.0,18.0,19.0,19.0,23.0,16.0,18.0,19.0,21.0,25.0,21.0,23.0,24.0,25.0,28.0,2.80121269E8,3.29125769E8,3.77744876E8,4.60645431E8,5.18570238E8,6.5602156E7,9.8346151E7,1.10682289E8,1.38785898E8,1.70840521E8,1.51525072E9,1.977877159E9,2.21676294E9,2.602869485E9,3.202345729E9,8.24915E7,1.12918172E8,1.27608558E8,1.42720817E8,1.82968721E8,1.0260246E7,1.1023238E7,1.1307833E7,1.2002014E7,1.4780247E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,82.45,4.75,129.85,0.0,47.15,82.7,1.8,45.35,0.0,0.0,129.85,1.9,48.6,81.25,2.25,44.9,1.45,0.0
52,260,17.0,18.0,19.0,19.0,22.0,17.0,18.0,19.0,20.0,22.0,17.0,17.0,18.0,19.0,21.0,17.0,18.0,18.0,19.0,21.0,20.0,22.0,23.0,25.0,30.0,2.71051904E8,3.43008928E8,4.25078992E8,4.61368979E8,5.25548087E8,8.5165794E7,1.19114256E8,1.47777702E8,1.65186345E8,2.12511634E8,1.561925307E9,2.047984697E9,2.338900152E9,2.549375145E9,3.777696481E9,6.0396719E7,1.04640537E8,1.18705197E8,1.44034189E8,1.68845207E8,1.2034855E7,1.2126824E7,1.2396631E7,1.3069502E7,2.5098834E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2,78.0,5.5,136.25,0.0,48.55,87.7,1.1,47.45,0.0,0.0,125.85,2.4,44.35,81.5,2.0,40.4,1.95,0.0
